Community District,Sub-Boro-Name,Borough,FIPS,Unbanked-2011,Underbanked-2011,Unbanked 2010,Unbanked 2009,Underbanked 2010,Underbanked 2009,unbanked-2011-2011-ACS ,underbanked-2011-2011-ACS-only,Unbanked-2013,Underbanked-2013,Prepaid-2011-Old-Definition,Prepaid-2011-New-Definition,prepaid-2011-new-definition-2011-ACS-only,Prepaid-2013-New-Definition,foreign-born-2011,poor-2011,Median-Income-2011,unemployment-2011,2013-poverty,foreign-born-2013,median-income-2013 ,unemployment-2013,
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",Morrisania / East Tremont,Bronx,3705,0.4245265,0.2503866,48.5,0.485,48,0.48,0.4165391,0.2536189,0.2862225,0.3079578,0.1815825,0.1481032,0.1555891,0.1332438,0.3130103,0.40655693,22370,0.20962955,0.38648485,0.32349804,24259,0.17785378,
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",Kingsbridge Heights / Mosholu,Bronx,3706,0.3077583,0.2717858,24.14,0.2414,67.09,0.6709,0.3216707,0.2563886,0.2473181,0.305938,0.1639431,0.1336536,0.1305921,0.1313358,0.4013837,0.32819978,30646,0.16697804,0.33950379,0.426156,29069,0.17794677,
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",University Heights / Fordham,Bronx,3707,0.3812368,0.2800662,52.84,0.5284,44.99,0.4499,0.3537928,0.3023197,0.2986486,0.3282635,0.1857081,0.153282,0.1513981,0.1442744,0.4199787,0.37142857,25951,0.20161851,0.39225667,0.44041976,24261,0.1568615,
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",Highbridge / S. Concourse,Bronx,3708,0.3449488,0.284388,51.01,0.5101,46.05,0.4605,0.3683454,0.2668669,0.2676265,0.3349567,0.1750221,0.1439782,0.1438003,0.1310673,0.38453826,0.39809568,22849,0.19194539,0.33652313,0.40658148,26387,0.1486159,
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",Soundview / Parkchester,Bronx,3709,0.2744326,0.2929452,23.1,0.231,69.22,0.6922,0.2638136,0.2970884,0.2224523,0.2877661,0.1574973,0.1271644,0.1252032,0.122008,0.35003283,0.24763075,35833,0.11528593,0.27470591,0.2878776,32363,0.16958317,
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",Mott Haven / Hunts Point,Bronx,3710,0.4292629,0.2529859,54,0.54,43,0.43,0.4313543,0.2514001,0.315461,0.3005851,0.1828838,0.14601,0.1396352,0.139539,0.27689717,0.38776399,21146,0.19974659,0.39506029,0.26534107,23083,0.12272891,
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",Washington Heights / Inwood,Manhattan,3801,0.2081985,0.2599317,45.93,0.4593,37.6,0.376,0.2163388,0.2623875,0.179289,0.3002135,0.1482502,0.1234132,0.1300792,0.1107355,0.47521225,0.24195817,37581,0.16147504,0.25287817,0.47283918,37462,0.13583999,
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",Morningside Heights / Hamilton Heights,Manhattan,3802,0.1934555,0.2329897,37.7,0.377,37.37,0.3737,0.1869907,0.2475793,0.1529601,0.2659317,0.1333863,0.1117153,0.1150721,0.1081203,0.35097282,0.2406129,39486,0.10605034,0.17307419,0.32481137,45600,0.07819061,
NYC-Manhattan Community District 10--Central Harlem PUMA,Central Harlem,Manhattan,3803,0.2490354,0.2579601,35.67,0.3567,55.88,0.5588,0.2295313,0.275442,0.2036461,0.3007454,0.1290534,0.1023578,0.1018224,0.1181608,0.24621936,0.23449072,35350,0.15441285,0.26223664,0.23074228,36917,0.10718048,
NYC-Manhattan Community District 11--East Harlem PUMA,East Harlem,Manhattan,3804,0.2851107,0.232469,37.21,0.3721,50.12,0.5012,0.2850871,0.2427983,0.1914263,0.2674395,0.139987,0.1125934,0.1091315,0.1134469,0.27159483,0.23125413,30900,0.13531113,0.29920486,0.23752745,26941,0.13350904,
NYC-Manhattan Community District 8--Upper East Side PUMA,Upper East Side,Manhattan,3805,0.0278372,0.1227391,0.08,0.0008,4.59,0.0459,0.0216221,0.118766,0.0352843,0.1788874,0.0901347,0.0769454,0.0768521,0.0874825,0.21054817,0.03313408,105217,0.05829314,0.03314484,0.21836745,107690,0.03452252,
NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,Upper West Side,Manhattan,3806,0.0545999,0.1411495,1.91,0.0191,12.6,0.126,0.0616071,0.1419388,0.0515784,0.1943981,0.0945899,0.0806093,0.0821842,0.0876518,0.21674386,0.07729231,92160,0.06431628,0.06246694,0.24850314,99273,0.06647407,
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",Chelsea / Clinton / Midtown,Manhattan,3807,0.0650416,0.1475322,0.5,0.005,10,0.1,0.0738049,0.1498012,0.0502825,0.1977009,0.1036991,0.0873328,0.0882568,0.0975297,0.25940399,0.06995773,83030,0.08179691,0.07517848,0.26374187,100635,0.06449484,
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",Stuyvesant Town / Turtle Bay,Manhattan,3808,0.0326404,0.1339055,0.08,0.0008,3.02,0.0302,0.0380415,0.1300859,0.0309757,0.1641342,0.0961231,0.0826507,0.0815538,0.0883525,0.21148237,0.05232857,101548,0.06899984,N/A,0.20408788,108077,0.03094522,
NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,Lower East Side / Chinatown,Manhattan,3809,0.1442148,0.1793356,6.61,0.0661,41.61,0.4161,0.151475,0.1759219,0.1011072,0.1913934,0.1419548,0.1186167,0.1161617,0.1059857,0.37472101,0.26677238,39162,0.06741129,0.29406611,0.33711391,40133,0.1081702,
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",Greenwich Village / Financial District,Manhattan,3810,0.0258768,0.1327684,0.2,0.002,3.5,0.035,0.0198833,0.1228662,0.0314677,0.1771593,0.100029,0.0853804,0.0823518,0.0989501,0.22052549,0.04877217,119866,0.04823533,0.04151839,0.2438835,125311,0.04199793,
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",South Shore,Staten,3901,0.0257475,0.1320055,0.03,0.0003,4.32,0.0432,0.0275948,0.1361816,0.0361521,0.1560414,0.1043253,0.0805233,0.080673,0.1038555,0.15204484,0.04364737,81322,0.07481402,0.05551931,0.1409025,85165,0.0649349,
NYC-Staten Island Community District 2--New Springville & South Beach PUMA,Mid-Island,Staten,3902,0.0532947,0.1498503,0.04,0.0004,10.96,0.1096,0.0485438,0.147554,0.0663758,0.1700631,0.1111814,0.0877713,0.0886382,0.1084057,0.26831235,0.05775961,71058,0.0662751,0.10708075,0.25353699,68661,0.07162026,
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",North Shore,Staten,3903,0.1309595,0.2302042,4.81,0.0481,40.69,0.4069,0.1329186,0.2361537,0.1130845,0.2229611,0.1264544,0.0998496,0.1022843,0.1138603,0.22323138,0.15960673,54206,0.10400522,0.15086592,0.22345949,60721,0.08293226,
NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,Williamsburg / Greenpoint,Brooklyn,4001,0.1315736,0.1557907,16.53,0.1653,51.28,0.5128,0.1213499,0.1508688,0.1002941,0.2127313,0.1229983,0.0992812,0.0932188,0.1085022,0.24324268,0.30198507,47003,0.08662604,0.20700339,0.25036839,52419,0.06465831,
NYC-Brooklyn Community District 4--Bushwick PUMA,Bushwick,Brooklyn,4002,0.2761679,0.2764215,46.78,0.4678,49.29,0.4929,0.2858705,0.2668379,0.1974763,0.2888729,0.1677475,0.1358906,0.1335127,0.1258234,0.35144095,0.29579652,34142,0.14682422,0.23025204,0.37464248,43354,0.15244298,
NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,Bedford Stuyvesant,Brooklyn,4003,0.2573678,0.2740174,33.92,0.3392,59.77,0.5977,0.2613332,0.2826222,0.2121491,0.285662,0.1406051,0.1116455,0.1106571,0.119233,0.19045607,0.28241959,32334,0.18523333,0.31975229,0.19802408,37195,0.15493166,
NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,Brooklyn Heights / Fort Greene,Brooklyn,4004,0.1169576,0.1949222,7.23,0.0723,32.4,0.324,0.1274891,0.18165,0.0913318,0.2298867,0.114369,0.0930238,0.0930829,0.1034471,0.19646792,0.13516297,62045,0.11768508,0.13918322,0.19262489,76040,0.0903828,
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",Park Slope / Carroll Gardens,Brooklyn,4005,0.0680397,0.1602765,5.03,0.0503,17.04,0.1704,0.0598434,0.1628153,0.0681968,0.1940732,0.1048456,0.0863526,0.0855438,0.1045081,0.18515875,0.07744334,87293,0.08515639,0.08777004,0.16965076,101789,0.04726313,
NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,North Crown Heights / Prospect Heights,Brooklyn,4006,0.2052521,0.2663341,27.76,0.2776,54.38,0.5438,0.2188031,0.2629126,0.1882866,0.2893625,0.1321908,0.1066979,0.107426,0.1149501,0.32479424,0.29042789,40511,0.1440463,0.25940114,0.2962377,39034,0.08853316,
NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,Brownsville / Ocean Hill,Brooklyn,4007,0.324662,0.2929379,47.07,0.4707,49.58,0.4958,0.3405872,0.286154,0.2872054,0.3247792,0.1626489,0.129492,0.1299163,0.1373927,0.28049555,0.37016687,25766,0.18836,0.32740189,0.31285714,27933,0.15714602,
NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,East New York / Starrett City,Brooklyn,4008,0.2731996,0.2869606,32.39,0.3239,62.73,0.6273,0.2748086,0.2709624,0.2175275,0.3315204,0.1526716,0.1206539,0.1126203,0.131685,0.33945267,0.32147601,29857,0.13117328,0.2561394,0.35304047,36943,0.1266071,
NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,Flatlands / Canarsie,Brooklyn,4009,0.0922241,0.3102942,5.3,0.053,56.25,0.5625,0.096303,0.3024171,0.0906419,0.3282065,0.1219326,0.0964733,0.0944264,0.1154681,0.42342817,0.11103513,59616,0.12343585,0.09332248,0.38219278,66283,0.0937726,
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",East Flatbush,Brooklyn,4010,0.1566326,0.3612064,27.02,0.2702,67.63,0.6763,0.1646383,0.3573337,0.1659861,0.4117203,0.1335879,0.1057857,0.1089153,0.1207233,0.51702546,0.13946514,44629,0.13446402,0.15278087,0.52164992,42666,0.11311601,
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",South Crown Heights,Brooklyn,4011,0.1942851,0.3063496,23.43,0.2343,67.94,0.6794,0.1951031,0.3167878,0.1659096,0.3670188,0.1333319,0.1062777,0.1048848,0.1191872,0.45414096,0.18029194,37446,0.17374476,0.16286739,0.42963919,46294,0.14248054,
NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,Sunset Park,Brooklyn,4012,0.163555,0.2540589,7.35,0.0735,55.83,0.5583,0.1714478,0.2451757,0.121434,0.2311517,0.1792124,0.149616,0.1530956,0.1220819,0.44147516,0.21208662,42544,0.08532619,0.27660732,0.4896064,45075,0.10631184,
NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,Bay Ridge,Brooklyn,4013,0.0622264,0.1603817,0.3,0.003,15.8,0.158,0.0637697,0.1574124,0.0652492,0.1912378,0.1244328,0.101007,0.0967669,0.1006139,0.37402111,0.11641577,56541,0.09837581,0.13240407,0.39359194,58621,0.0945121,
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",Borough Park,Brooklyn,4014,0.0868225,0.1583371,0.86,0.0086,51.27,0.5127,0.0948403,0.1514264,0.0821913,0.2113549,0.1357612,0.1096392,0.1095612,0.1080013,0.30822336,0.27752607,34374,0.07713673,0.28388477,0.29964728,40571,0.07161701,
NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,Flatbush,Brooklyn,4015,0.1231452,0.2377515,15.55,0.1555,51.51,0.5151,0.1275413,0.2363075,0.1243952,0.2832957,0.131446,0.1077825,0.1094377,0.1109551,0.44908454,0.18206869,40470,0.1115127,0.20568699,0.42879867,42312,0.10125206,
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",Sheepshead Bay / Gravesend,Brooklyn,4016,0.0577384,0.1352189,0.83,0.0083,20.79,0.2079,0.0595722,0.1404612,0.0563069,0.202207,0.1155751,0.0940095,0.0986984,0.1004106,0.45971256,0.12024425,47610,0.0897142,0.12126147,0.46058102,51064,0.08337091,
NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,Bensonhurst,Brooklyn,4017,0.0766614,0.1840314,0.05,0.0005,26.98,0.2698,0.0722502,0.1898835,0.060764,0.1961563,0.1481326,0.122306,0.1273272,0.1092596,0.54163563,0.15322652,44464,0.10339872,0.14206679,0.55175304,47272,0.09393728,
NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,Coney Island,Brooklyn,4018,0.1029514,0.1436874,10.51,0.1051,50.62,0.5062,0.0989012,0.1455053,0.097538,0.2321443,0.1148211,0.0939008,0.0897332,0.0903174,0.55452316,0.1833347,28106,0.12819226,0.1887399,0.54083333,30850,0.12693322,
NYC-Queens Community District 1--Astoria & Long Island City PUMA,Astoria,Queens,4101,0.109816,0.187838,5.18,0.0518,38.69,0.3869,0.1215936,0.1907731,0.1000264,0.2318881,0.1287618,0.1068674,0.1068068,0.108087,0.41964107,0.17988269,46716,0.10915145,0.1602999,0.39487639,50960,0.09625586,
NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,Jackson Heights,Queens,4102,0.1487131,0.3171419,11.54,0.1154,59.2,0.592,0.1451087,0.3238504,0.1362489,0.3247761,0.162481,0.1343857,0.1323216,0.122876,0.62865776,0.18146012,46619,0.08224808,0.16447318,0.61864596,49181,0.06922327,
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",Flushing / Whitestone,Queens,4103,0.0584652,0.2268222,0.19,0.0019,21.09,0.2109,0.054575,0.2181049,0.0491989,0.1893012,0.1501216,0.1314358,0.1278233,0.1054531,0.56730847,0.12152783,49630,0.10153814,0.13821287,0.56970898,50490,0.06918124,
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",Bayside / Little Neck,Queens,4104,0.0243014,0.1911016,0.03,0.0003,6.2,0.062,0.0213708,0.1920127,0.0260505,0.1629801,0.1218069,0.1038817,0.1036645,0.0961198,0.42262933,0.08442354,77028,0.08457361,0.05811603,0.42600423,72158,0.06652087,
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",Bellerose / Rosedale,Queens,4105,0.0537448,0.3255032,8.29,0.0829,61.39,0.6139,0.0479555,0.3255251,0.0640211,0.2981457,0.1230034,0.0996689,0.1006154,0.1046582,0.41400518,0.07190169,75363,0.09792009,0.06720627,0.41255243,76885,0.09630954,
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",Hillcrest / Fresh Meadows,Queens,4106,0.0738786,0.2278762,0.66,0.0066,32.95,0.3295,0.0770837,0.2298929,0.0507988,0.2287414,0.1242467,0.104941,0.106262,0.099958,0.44276506,0.12933568,53240,0.11499461,0.11110486,0.482497,57531,0.09242038,
NYC-Queens Community District 4--Elmhurst & South Corona PUMA,Elmhurst / Corona,Queens,4107,0.1419198,0.309275,6.15,0.0615,63.69,0.6369,0.140189,0.3077295,0.116607,0.2814581,0.1706933,0.1444159,0.1435595,0.1211742,0.70397958,0.22214607,45641,0.04701889,0.18302411,0.6425634,46489,0.06979524,
NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,Forest Hills / Rego Park,Queens,4108,0.0398551,0.1749762,0.05,0.0005,11.08,0.1108,0.035531,0.1747783,0.0402997,0.2204082,0.1096808,0.0943062,0.0968663,0.0902947,0.50385062,0.04842288,65902,0.06152619,0.08016941,0.51483622,61654,0.06530599,
NYC-Queens Community District 2--Sunnyside & Woodside PUMA,Sunnyside / Woodside,Queens,4109,0.0865802,0.2355293,1.16,0.0116,40.54,0.4054,0.0860574,0.2332077,0.0664924,0.2297299,0.1468153,0.1255237,0.1233156,0.1077683,0.5890096,0.11564626,50105,0.07244486,0.12371134,0.55634864,61836,0.05740719,
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",Middle Village / Ridgewood,Queens,4110,0.1134795,0.18948,1.98,0.0198,32.23,0.3223,0.1178918,0.1854487,0.0885035,0.2274906,0.1316388,0.1049677,0.1002405,0.1124447,0.39442884,0.12331758,52416,0.09383449,0.09852217,0.38456331,58564,0.08205983,
NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,Kew Gardens / Woodhaven,Queens,4111,0.1029258,0.2701697,1.8,0.018,61.97,0.6197,0.1101284,0.2726039,0.069517,0.2444576,0.1497963,0.1237098,0.1257795,0.1185865,0.48787303,0.15400206,54855,0.11673345,0.14793193,0.49094826,62532,0.08801644,
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",Jamaica,Queens,4112,0.1383273,0.3589896,24.09,0.2409,69.92,0.6992,0.1327128,0.3673038,0.1130896,0.342001,0.1436712,0.1172713,0.1135611,0.1164254,0.41103821,0.13280285,50021,0.14916722,0.13072769,0.4287792,51449,0.14755369,
NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,Howard Beach / S. Ozone Park,Queens,4113,0.0720369,0.2674267,3.97,0.0397,56.8,0.568,0.0627671,0.2703212,0.056122,0.2354505,0.150696,0.1234217,0.1177709,0.1102569,0.46713285,0.10497657,58536,0.11117453,0.08230631,0.46217345,62671,0.13304657,
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",Rockaways,Queens,4114,0.1725768,0.234739,14.73,0.1473,52.26,0.5226,0.157811,0.2345082,0.1453092,0.2600261,0.1286578,0.1018123,0.0981671,0.1065313,0.29768864,0.19954233,42265,0.12478047,0.15365679,0.28462888,46731,0.07876539,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,|
,,,,,,,,,,,,,,,,,,,,,,,,,,|
,,,,,,,,,,,,,,,,,,,,,,,,,,|
